the_geom,lsad,name,county,tract,cnty_tract,state,geo_id,GISJOIN,censusarea
0106000020E61000000100000001030000000100000010000000654CC11A677A52C0637616BD53674440D033BDC4587A52C0EF7D71A94A674440463A03232F7A52C0D4928E7230674440615C7171547A52C097D53BDC0E674440D70DDB16657A52C0DB0F786000674440CDFE40B96D7A52C042D95BCAF966444062E76D6C767A52C000310917F266444008BC934F8F7A52C0A8BBB20B06674440C0560916877A52C06DF7729F1C67444012F1D6F9B77A52C08E54DFF9456744403FBCAE5FB07A52C070A94A5B5C674440E4B7E864A97A52C0BEE8F2E670674440944737C2A27A52C077AA436E86674440EB6B5D6A847A52C031F8FBC56C67444003137F14757A52C0447A51BB5F674440654CC11A677A52C0637616BD53674440,Tract,27.02,5,2702,52702,36,1400000US,36005002702,0.061
0106000020E61000000100000001030000000100000017000000CB22145B417852C07E2DAF5C6F694440DFF25833327852C09AAA7B64736944403A8908FF227852C086A3AB74776944401ED5B0DF137852C01394A2957B694440796B60AB047852C0FE8CD2A57F694440BDBC00FBE87752C01F5F420587694440BF249529E67752C0C08A53AD8569444054BC9179E47752C0CF3C80457E694440F2ACA415DF7752C0B9B72231416944409DB30584D67752C00D643DB5FA684440374BC972127852C00469C6A2E968444058BF99982E7852C079E063B0E268444036C2A2224E7852C094404AECDA684440E8279CDD5A7852C04769368FC36844406DD921FE617852C0162CD505BC684440EA1A2D077A7852C033D07CCEDD68444038268BFB8F7852C06740BD1935694440F8BB77D4987852C0A99D616A4B6944405C4D9EB29A7852C02D01F8A754694440A3C519C39C7852C00AB08F4E5D694440C94BFE277F7852C0A93FC230606944403B31EBC5507852C084527B116D694440CB22145B417852C07E2DAF5C6F694440,Tract,28,5,2800,52800,36,1400000US,36005002800,0.161
0106000020E6100000010000000103000000010000000D0000000A0C59DDEA7952C0AC669DF17D674440AB8BDB68007A52C0AD0FEB8D5A674440ECD11BEE237A52C0F3FC69A33A67444021C2BF081A7A52C02937514B73674440023E3F8C107A52C00069FF03AC674440FA93F8DC097A52C0439C4EB2D56744408D588B4F017A52C0EAC4E57805684440E2175E49F27952C07664AC36FF67444001965CC5E27952C0919048DBF86744409F6CCA15DE7952C0C8A145B6F36744409F698995D17952C0CDBC1C76DF6744408BF7E3F6CB7952C09CD7D825AA6744400A0C59DDEA7952C0AC669DF17D674440,Tract,31,5,3100,53100,36,1400000US,36005003100,0.06
0106000020E61000000100000001030000000100000012000000463A03232F7A52C0D4928E7230674440D033BDC4587A52C0EF7D71A94A674440654CC11A677A52C0637616BD5367444003137F14757A52C0447A51BB5F674440EB6B5D6A847A52C031F8FBC56C674440944737C2A27A52C077AA436E86674440DA8827BB997A52C0AA55BB26A46744403101BF46927A52C0CD656A12BC674440D3298F6E847A52C0D035936FB6674440C3573B8A737A52C04C81CCCEA267444059D2510E667A52C08C1F2A8D98674440F080B229577A52C05C16139B8F6744408CEC4ACB487A52C0EFDAA50D87674440E782FA96397A52C016B5FB55806744404219AA622A7A52C0616534F27967444021C2BF081A7A52C02937514B73674440ECD11BEE237A52C0F3FC69A33A674440463A03232F7A52C0D4928E7230674440,Tract,33,5,3300,53300,36,1400000US,36005003300,0.058
0106000020E6100000010000000103000000010000000D00000021C2BF081A7A52C02937514B736744404219AA622A7A52C0616534F279674440E782FA96397A52C016B5FB55806744408CEC4ACB487A52C0EFDAA50D87674440A12424D2367A52C08D52094FE8674440D116D7F84C7A52C05D2BA1BB2468444044EF54C03D7A52C08AC22E8A1E6844401DA7E8482E7A52C09383D90418684440681D554D107A52C0ECB1F4A10B6844408D588B4F017A52C0EAC4E57805684440FA93F8DC097A52C0439C4EB2D5674440023E3F8C107A52C00069FF03AC67444021C2BF081A7A52C02937514B73674440,Tract,35,5,3500,53500,36,1400000US,36005003500,0.055
0106000020E6100000010000000103000000010000000F00000026309DD66D7A52C0C39272F7396844406B06B8205B7A52C09AE271512D684440D116D7F84C7A52C05D2BA1BB24684440A12424D2367A52C08D52094FE86744408CEC4ACB487A52C0EFDAA50D87674440F080B229577A52C05C16139B8F67444059D2510E667A52C08C1F2A8D98674440C3573B8A737A52C04C81CCCEA2674440D3298F6E847A52C0D035936FB66744403101BF46927A52C0CD656A12BC674440FE756EDA8C7A52C047A0C1A6CE674440B4C2F4BD867A52C00162122EE4674440B0D5E594807A52C008C1AA7AF96744403D75AC527A7A52C0B0170AD80E68444026309DD66D7A52C0C39272F739684440,Tract,37,5,3700,53700,36,1400000US,36005003700,0.065
0106000020E610000001000000010300000001000000090000008C7E349C327752C04C2CF015DD684440482A53CC417752C090B75CFDD868444064DEAAEB507752C0743A90F5D46844400F02F225547752C0A15C1ABFF06844402329E961687752C0CFCFD4EB16694440874677103B7752C093BA641C2369444006CDAE7B2B7752C0502FF834276944405D5FEB52237752C0BB033C69E16844408C7E349C327752C04C2CF015DD684440,Tract,38,5,3800,53800,36,1400000US,36005003800,0.024
0106000020E61000000100000001030000000100000010000000E4B7E864A97A52C0BEE8F2E6706744403FBCAE5FB07A52C070A94A5B5C67444012F1D6F9B77A52C08E54DFF945674440B06CE690D47A52C0C3CF7F0F5E67444032349E08E27A52C0CF9A1F7F69674440EAFB7090107B52C0A97F10C990674440FB89CA86357B52C0F80FE9B7AF674440D39B51F3557B52C0A7DC442DCD674440E9A694D74A7B52C0CDBC1C76DF674440BC6DA6423C7B52C007A4C4AEED674440B20A9B012E7B52C096E5EB32FC674440C01DA8531E7B52C0F60489EDEE674440326E6AA0F97A52C0A574B0FECF67444007C89750C17A52C05F545227A0674440944737C2A27A52C077AA436E86674440E4B7E864A97A52C0BEE8F2E670674440,Tract,39,5,3900,53900,36,1400000US,36005003900,0.083
0106000020E6100000010000000103000000010000000E00000025E4839ECD7652C0985E622CD36944408C7C5EF1D47652C046382D78D169444022658BA4DD7652C001F4FBFECD6944406A7F677BF47652C09250FA42C86944407951BB5F057752C0EE37DA71C36944401EA16648157752C0473140A2096A444032BF9A03047752C0459561DC0D6A44408C4127840E7752C0E6340BB43B6A4440EEBF95ECD87652C0620B410E4A6A4440901FF12BD67652C061D17476326A444004FBAF73D37652C06297A8DE1A6A44405E94A0BFD07652C0625DDC46036A4440025C902DCB7652C02DA86F99D369444025E4839ECD7652C0985E622CD3694440,Tract,40.01,5,4001,54001,36,1400000US,36005004001,0.048
0106000020E6100000010000000103000000010000000D0000003101BF46927A52C0CD656A12BC674440DA8827BB997A52C0AA55BB26A4674440944737C2A27A52C077AA436E8667444007C89750C17A52C05F545227A0674440326E6AA0F97A52C0A574B0FECF674440C01DA8531E7B52C0F60489EDEE674440B20A9B012E7B52C096E5EB32FC674440F0D24D62107B52C0502CB7B41A6844402D02637D037B52C0E45E605628684440675BCD3AE37A52C0AA8E1CE90C684440B86E4A79AD7A52C013CD0358E4674440FE756EDA8C7A52C047A0C1A6CE6744403101BF46927A52C0CD656A12BC674440,Tract,41,5,4100,54100,36,1400000US,36005004100,0.071
