Id,Id2,City_State,Population,NoHighSchoolDiploma,HighSchoolDiploma,SomeCollegeAssoc,BachelorsOrhigher,MedianIncome,EnglishOnly,LanguageNotEnglish,Spanish,AsianLanguages,AllAvailableUnits,Median_Rent
310M200US25500,25500,"Harrisburg, PA",128166,6.2,22.5,63.9,7.4,31298,85.8,14.2,9.2,0.9,6521,1500-1999
310M200US25540,25540,"Harrisonburg, VA",1215159,12.1,25.6,50,12.3,45998,79,21,10.1,2.3,38795,800-899
310M200US25620,25620,"Hartford, CT",146370,12,20.6,59.1,8.2,30735,96.5,3.5,2,0.7,8495,500-549
310M200US25860,25860,"Hattiesburg, MS",363936,20.1,33.7,41.5,4.8,28766,91.7,8.3,5.5,2.1,24289,400-449
310M200US25940,25940,"Hickory, NC",194495,13.9,43.4,36.8,5.9,30179,86.9,13.1,10.4,0.8,30257,1000-1249
310M200US25980,25980,"Hilton Head Island, SC",80456,13,45,39.2,2.7,32475,89.2,10.8,7.2,1.5,5140,1000-1249
310M200US26140,26140,"Hinesville, GA",139771,24.8,43.1,28.2,3.9,25995,93.9,6.1,2.7,0.8,17205,1250-1499
310M200US26300,26300,"Homosassa Springs, FL",96804,21.4,32.9,42.8,2.9,26449,94.6,5.4,3.4,0.5,10676,500-549
310M200US26380,26380,"Honolulu, HI",209402,25.6,37.9,31.4,5.1,35514,87.3,12.7,3.1,0.7,8374,700-749
310M200US26420,26420,"Hot Springs, AR",6204141,19.8,30.5,41.4,8.2,38315,62.2,37.8,29,4.5,249993,800-899
310M200US26580,26580,"Houma, LA",364514,13.4,34.2,44.3,8.1,31832,98.2,1.8,0.7,0.4,20534,450-499
310M200US26620,26620,"Houston, TX",430396,15,28.1,47.4,9.6,37417,93,7,3.7,1.4,18388,400-449
310M200US26820,26820,"Huntington, VW",136057,17.9,38.7,38.4,5,30716,90,10,8.6,0.3,4773,550-599
310M200US26900,26900,"Huntsville, AL",1931182,21.3,29.7,38.4,10.6,36282,91.1,8.9,5.1,1.3,91133,500-549
310M200US26980,26980,"Idaho Falls, ID",158708,4.4,17.4,62.2,15.9,39350,86.8,13.2,4.1,3.9,2884,800-899
310M200US27060,27060,"Indianapolis, IN",103179,2.8,13.6,68.1,15.5,38614,85.5,14.5,2.5,6.7,3482,1000-1249
310M200US27100,27100,"Iowa City, IA",159927,17.6,28.6,49.1,4.8,32007,96.7,3.3,1.8,0.4,8747,600-649
310M200US27140,27140,"Ithaca, NY",574998,17.5,27.2,46.7,8.6,32938,96,4,2.4,0.6,28143,500-549
310M200US27180,27180,"Jackson, MI",130233,10.6,28.5,54.5,6.4,31297,94.7,5.3,3.6,0.7,7932,500-549
310M200US27260,27260,"Jackson, MS",1380995,17.1,33.3,41.3,8.3,35053,88.7,11.3,5.2,2.4,89486,800-899
310M200US27340,27340,"Jackson, TN",182921,9.1,43.8,43.9,3.3,31653,91,9,6.3,1.5,11423,500-549
310M200US27500,27500,"Jacksonville, FL",160465,13.2,41.3,39,6.5,32840,91.5,8.5,6.4,0.7,4976,600-649
310M200US27620,27620,"Jacksonville, NC",150440,17.6,28.8,46.6,7,33919,95.9,4.1,1.9,0.5,7371,500-549
310M200US27740,27740,"Janesville, WI",200271,9.3,30.3,49.5,10.8,29823,96.1,3.9,2.4,0.5,10700,400-449
310M200US27780,27780,"Jefferson City, MO",140835,9.4,32.6,49.3,8.7,31176,96.8,3.2,1.4,0.4,7467,500-549
310M200US27860,27860,"Johnson City, TN",124194,10.9,33.5,47.4,8.2,29470,95.6,4.4,3,0.8,5453,350-399
310M200US27900,27900,"Johnstown, PA",175679,14.1,34.7,44.3,6.9,30266,93,7,4.9,1,7789,350-399
310M200US27980,27980,"Jonesboro, AR",158887,14.4,43.4,36.9,5.3,34147,78.9,21.1,1.9,17.4,17829,2000+
310M200US28020,28020,"Joplin, MO",330439,9.8,21,58.8,10.4,33770,92.3,7.7,4.1,1,18607,450-499
310M200US28100,28100,"Kahului, HI",112682,12,30.9,50.3,6.7,35662,91.4,8.6,6.6,0.5,3759,600-649
310M200US28140,28140,"Kalamazoo, MI",2040869,14.8,31.2,42.1,11.8,38356,90.4,9.6,5.6,1.7,84204,500-549
310M200US28420,28420,"Kankakee, IL",266561,24.8,34.9,35.9,4.4,35719,72,28,23.9,1.8,5377,800-899
310M200US28660,28660,"Kansas City, MO",417887,11.2,42.1,41.3,5.4,34122,82.6,17.4,12.8,2,29161,800-899
310M200US28700,28700,"Kennewick, WA",308800,12.6,39.3,41.1,7,29628,97.6,2.4,1.4,0.3,17512,500-549
310M200US28740,28740,"Killeen, TX",181598,11.5,28.9,49.4,10.1,37053,88,12,6.2,1.1,14350,800-899
310M200US28940,28940,"Kingsport, TN",847765,12.6,32.8,45.6,9,32781,95,5,2.5,0.9,42936,400-449
310M200US29020,29020,"Kingston, NY",82914,22.7,32.8,37,7.4,31684,95.5,4.5,2.4,0.9,4245,500-549
310M200US29100,29100,"Knoxville, TN",135329,6,28.8,56.3,8.9,35185,94.2,5.8,1.6,3.1,3296,600-649
310M200US29180,29180,"Kokomo, IN",475457,19.6,31.5,42.9,6,34125,84.5,15.5,2.8,1.2,21458,500-549
310M200US29200,29200,"La Crosse, WI",207013,4.9,24.8,58.2,12.1,33066,86.8,13.2,6,4.6,7594,600-649
310M200US29340,29340,"Lafayette, IN",201656,16.3,34,44,5.7,33530,92.6,7.4,2.1,0.7,10300,650-699
310M200US29420,29420,"Lafayette, LA",202482,25.1,37.7,33.8,3.4,25816,88.4,11.6,9.2,0.7,31052,550-599
310M200US29460,29460,"Lake Charles, LA",617323,22.6,35.2,37.7,4.6,30418,80.7,19.3,15.6,1.2,61061,800-899
310M200US29540,29540,"Lake Havasu City, AZ",526839,19,35.6,37.4,8,35579,84.4,15.6,6.5,1.5,10269,1000-1249
310M200US29620,29620,"Lakeland, FL",467122,7.1,19.1,61.7,12,35735,90.6,9.4,3.2,2.8,17433,650-699
310M200US29700,29700,"Lancaster, PA",259471,21.6,30.4,44,4.1,24642,8.8,91.2,90.6,0.4,7006,600-649
310M200US29740,29740,"Lansing, MI",212942,16.4,21.1,57,5.5,24976,48.6,51.4,49.3,0.7,8365,1250-1499
310M200US29820,29820,"Laredo, TX",2003613,21,36.1,38.3,4.7,33451,66.3,33.7,23.1,6.9,135716,1000-1249
310M200US29940,29940,"Las Cruses, NM",113703,3.8,12.4,69.7,14.1,35598,90.2,9.8,3.1,3.5,3610,650-699
310M200US30020,30020,"Las Vegas, NV",131804,13.1,41.8,37.7,7.3,31342,89.3,10.7,5.1,1.8,7809,700-749
310M200US30140,30140,"Lawrence, KS",135184,18.9,32,41,8.1,36067,89.5,10.5,7,0.8,4050,650-699
310M200US30300,30300,"Lawton, OK",61610,14.2,35.5,44.4,5.9,30783,96.1,3.9,1.6,0.5,1725,600-649
310M200US30340,30340,"Lebanon, PA",107470,12.5,36.2,44.6,6.8,32218,87.9,12.1,1.1,0.7,4796,800-899
310M200US30460,30460,"Lewiston, ID",483997,9,25.8,52.2,13.1,33838,90.7,9.3,5.1,1.8,19627,500-549
310M200US30620,30620,"Lewiston, ME",105562,16.7,31,46.1,6.2,30416,97.2,2.8,1.3,0.5,4739,500-549
310M200US30700,30700,"Lexington, KY",310665,5.8,18.2,63.6,12.4,35638,89.4,10.6,3.9,3.1,6920,400-449
310M200US30780,30780,"Lima, OH",716849,13.4,29.8,47.3,9.4,35193,93.9,6.1,3.8,1,38985,500-549
310M200US30860,30860,"Lincoln, NE",128807,5.3,22.1,65.2,7.4,30112,87.3,12.7,8.9,1.9,3059,500-549
310M200US30980,30980,"Little Rock, AR",216746,18.2,32.1,45,4.7,31614,86.2,13.8,12.1,0.8,10804,500-549
310M200US31020,31020,"Logan, UT",102072,20.8,35.2,40.9,3.1,32947,92.6,7.4,4.7,1.2,3686,550-599
310M200US31080,31080,"Longview, TX",13060534,15.5,26.7,48.1,9.8,35310,45.9,54.1,36.4,11.6,275865,1000-1249
310M200US31140,31140,"Longview, WA",1253305,17.2,34,40.2,8.7,34911,93.3,6.7,3.4,1.1,51970,650-699
310M200US31180,31180,"Los Angeles, CA",298578,8.7,19.5,62.2,9.7,31437,77.5,22.5,19.7,1.3,12330,800-899
