GISJOIN,,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,Cnty_Trct,NAME,Total,OnlyEnglish,Spanish,French,FrenchCreole,Italian,Portuguese,German,Yiddish,OtherWestGermanic,Scandinavian,Greek,Russian,Polish,Serbo-Croatian,OtherSlavic,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndo-European,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacificIsland,Navajo,OtherNorthAmericanIndian,Hungarian,Arabic,Hebrew,AfricanLanguages,OtherUnspecified
3.60081E+12,,2010-2014,New York,36,Queens County,81,108500,81108500,"Census Tract 1085, Queens County, New York",2588,0.449,0.059,0,0,0.036,0,0,0,0,0,0.024,0,0,0.031,0.009,0.005,0,0,0,0,0,0,0.315,0,0.054,0,0,0,0,0.008,0,0.002,0,0,0,0.005,0,0.002,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,109300,81109300,"Census Tract 1093, Queens County, New York",3226,0.419,0.127,0.002,0,0.022,0,0.004,0.001,0,0,0.091,0.021,0,0.01,0.017,0.008,0.015,0.013,0,0,0.007,0.01,0.087,0,0.114,0,0,0,0,0,0.024,0,0.007,0,0,0.002,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,109700,81109700,"Census Tract 1097, Queens County, New York",1522,0.516,0.083,0,0,0.028,0.044,0.003,0,0,0,0.049,0.014,0,0.065,0,0,0,0,0,0.006,0.009,0,0.054,0,0.051,0,0,0.039,0,0,0.016,0.006,0,0,0,0,0.016,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,109900,81109900,"Census Tract 1099, Queens County, New York",3808,0.555,0.178,0.001,0,0.025,0,0.002,0,0,0.004,0.015,0,0.017,0,0.003,0,0,0,0,0,0,0,0.128,0,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,111300,81111300,"Census Tract 1113, Queens County, New York",2508,0.471,0.071,0.007,0,0.027,0,0,0,0,0,0.038,0.008,0.027,0,0.007,0.002,0,0,0,0,0,0,0.185,0,0.137,0,0,0.002,0,0,0.005,0.002,0,0,0,0.009,0,0,0,0.002
3.60081E+12,,2010-2014,New York,36,Queens County,81,112300,81112300,"Census Tract 1123, Queens County, New York",2098,0.313,0.197,0.006,0,0.01,0,0,0,0.004,0,0.016,0,0,0,0,0,0,0,0.007,0,0.01,0.002,0.18,0,0.21,0,0,0.009,0,0.013,0.013,0.003,0.006,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,112900,81112900,"Census Tract 1129, Queens County, New York",2002,0.612,0.036,0.004,0,0.027,0,0.006,0.002,0,0,0.035,0,0.002,0,0.003,0,0,0,0,0,0,0.002,0.058,0.009,0.18,0,0,0,0,0,0,0.004,0,0,0,0,0,0.016,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,113300,81113300,"Census Tract 1133, Queens County, New York",1566,0.523,0.084,0,0,0.021,0.01,0,0,0,0,0.08,0,0.028,0,0,0,0,0,0.009,0,0,0,0.1,0.034,0.05,0,0,0,0,0,0.006,0,0,0,0,0,0.054,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,113900,81113900,"Census Tract 1139, Queens County, New York",3284,0.389,0.147,0,0,0.045,0.006,0,0.003,0,0,0.055,0.012,0,0,0,0.01,0.006,0,0,0.025,0.013,0.005,0.087,0,0.192,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,114100,81114100,"Census Tract 1141, Queens County, New York",2094,0.535,0.074,0.006,0,0.025,0,0.011,0,0,0,0.062,0.008,0.005,0.028,0.003,0,0,0,0,0,0.001,0.011,0.114,0,0.093,0,0,0,0,0,0.007,0.011,0,0,0,0,0,0.008,0,0
